DATA,TOTAL S/ ISENTOS,Passageiros Isentos
1 de mar. de 2020,117109,27918
2 de mar. de 2020,615010,100508
3 de mar. de 2020,630057,102958
4 de mar. de 2020,639283,109205
5 de mar. de 2020,640561,106268
6 de mar. de 2020,630514,107864
7 de mar. de 2020,292445,50315
8 de mar. de 2020,128466,29713
9 de mar. de 2020,638985,105986
10 de mar. de 2020,643297,105198
11 de mar. de 2020,648967,106006
12 de mar. de 2020,632743,96497
13 de mar. de 2020,607376,91615
14 de mar. de 2020,267347,42850
15 de mar. de 2020,117792,25296
16 de mar. de 2020,551862,79619
17 de mar. de 2020,496955,70018
18 de mar. de 2020,421028,54825
19 de mar. de 2020,358893,42355
20 de mar. de 2020,277337,32973
21 de mar. de 2020,107505,14362
22 de mar. de 2020,39697,7388
23 de mar. de 2020,155322,21484
24 de mar. de 2020,124435,16349
25 de mar. de 2020,131752,19118
26 de mar. de 2020,131124,17593
27 de mar. de 2020,129220,16688
28 de mar. de 2020,70813,10179
29 de mar. de 2020,36270,6685
30 de mar. de 2020,137924,18667
31 de mar. de 2020,139654,19007
1 de abr. de 2020,144042,21128
2 de abr. de 2020,143487,20643
3 de abr. de 2020,153180,23063
4 de abr. de 2020,83007,12526
5 de abr. de 2020,40467,7692
6 de abr. de 2020,164938,26072
7 de abr. de 2020,171579,26896
8 de abr. de 2020,174991,26841
9 de abr. de 2020,177406,27125
10 de abr. de 2020,59114,9374
11 de abr. de 2020,86312,13946
12 de abr. de 2020,35183,7522
13 de abr. de 2020,181036,26037
14 de abr. de 2020,177994,25890
15 de abr. de 2020,183613,25708
16 de abr. de 2020,181431,23768
17 de abr. de 2020,187259,25172
18 de abr. de 2020,96156,13730
19 de abr. de 2020,41107,8131
20 de abr. de 2020,175156,25101
21 de abr. de 2020,63056,10501
22 de abr. de 2020,201438,28339
23 de abr. de 2020,201333,26728
24 de abr. de 2020,202521,27342
25 de abr. de 2020,105430,15702
26 de abr. de 2020,44218,9141
27 de abr. de 2020,204099,28193
28 de abr. de 2020,205280,28266
29 de abr. de 2020,208621,28221
30 de abr. de 2020,214245,30328
1 de mai. de 2020,62290,10908
2 de mai. de 2020,103291,17463
3 de mai. de 2020,46719,9555
4 de mai. de 2020,220594,33467
5 de mai. de 2020,221424,33981
6 de mai. de 2020,210158,28986
7 de mai. de 2020,223790,33172
8 de mai. de 2020,229144,34911
9 de mai. de 2020,120003,18477
10 de mai. de 2020,48530,9267
11 de mai. de 2020,222748,32038
12 de mai. de 2020,224973,31435
13 de mai. de 2020,222428,29690
14 de mai. de 2020,217431,27575
15 de mai. de 2020,220798,28638
16 de mai. de 2020,112387,16260
17 de mai. de 2020,45387,9010
18 de mai. de 2020,223095,29711
19 de mai. de 2020,222314,29385
20 de mai. de 2020,226738,29549
21 de mai. de 2020,223187,28733
22 de mai. de 2020,216446,25521
23 de mai. de 2020,112058,15314
24 de mai. de 2020,46319,9361
25 de mai. de 2020,231034,30495
26 de mai. de 2020,231087,30755
27 de mai. de 2020,233896,30827
28 de mai. de 2020,236308,30216
29 de mai. de 2020,237846,32726
30 de mai. de 2020,126925,18292
31 de mai. de 2020,54366,10304
1 de jun. de 2020,239369,33250
2 de jun. de 2020,230864,29690
3 de jun. de 2020,242278,33647
4 de jun. de 2020,240190,32438
5 de jun. de 2020,252230,37140
6 de jun. de 2020,130573,17979
7 de jun. de 2020,56656,10766
8 de jun. de 2020,255264,37855
9 de jun. de 2020,248077,31978
10 de jun. de 2020,241972,29527
