DATA,TOTAL S/ ISENTOS,Passageiros Isentos
11 de jun. de 2020,83793,12232
12 de jun. de 2020,233321,35219
13 de jun. de 2020,128752,19015
14 de jun. de 2020,54311,9938
15 de jun. de 2020,242401,31325
16 de jun. de 2020,239146,30265
17 de jun. de 2020,238611,30196
18 de jun. de 2020,235671,28902
19 de jun. de 2020,237342,29918
20 de jun. de 2020,109308,15537
21 de jun. de 2020,46040,8958
22 de jun. de 2020,235682,29859
23 de jun. de 2020,234581,29112
24 de jun. de 2020,234797,29245
25 de jun. de 2020,227441,27883
26 de jun. de 2020,225930,27419
27 de jun. de 2020,95747,12472
28 de jun. de 2020,41817,8090
29 de jun. de 2020,228994,29187
30 de jun. de 2020,211088,28629
1 de jul. de 2020,199404,26222
2 de jul. de 2020,196096,27254
3 de jul. de 2020,198808,27550
4 de jul. de 2020,92873,14491
5 de jul. de 2020,31541,7435
6 de jul. de 2020,202089,28649
7 de jul. de 2020,202632,29651
8 de jul. de 2020,201260,27182
9 de jul. de 2020,200022,27552
10 de jul. de 2020,201186,27955
11 de jul. de 2020,93105,13414
12 de jul. de 2020,33327,7803
13 de jul. de 2020,201743,27530
14 de jul. de 2020,203344,27118
15 de jul. de 2020,223415,29976
16 de jul. de 2020,228187,29016
17 de jul. de 2020,225817,29530
18 de jul. de 2020,103370,15730
19 de jul. de 2020,42627,8637
20 de jul. de 2020,232641,31043
21 de jul. de 2020,235967,30216
22 de jul. de 2020,237546,30748
23 de jul. de 2020,233701,29310
24 de jul. de 2020,239115,30639
25 de jul. de 2020,108830,15579
26 de jul. de 2020,37318,8411
27 de jul. de 2020,238626,31174
28 de jul. de 2020,241342,31199
29 de jul. de 2020,225810,25672
30 de jul. de 2020,233879,28672
31 de jul. de 2020,243072,31877
1 de ago. de 2020,113224,17334
2 de ago. de 2020,38350,8969
3 de ago. de 2020,251940,35697
4 de ago. de 2020,252299,35825
5 de ago. de 2020,256985,36821
6 de ago. de 2020,256939,36486
7 de ago. de 2020,263837,39555
8 de ago. de 2020,121172,18655
9 de ago. de 2020,41709,9488
10 de ago. de 2020,262269,38185
11 de ago. de 2020,260521,35948
12 de ago. de 2020,259126,34953
13 de ago. de 2020,249252,29989
14 de ago. de 2020,257415,34719
15 de ago. de 2020,97581,12450
16 de ago. de 2020,37452,8217
17 de ago. de 2020,255569,33369
18 de ago. de 2020,248615,28977
19 de ago. de 2020,241733,26921
20 de ago. de 2020,240149,25484
21 de ago. de 2020,234320,25231
22 de ago. de 2020,124920,17321
23 de ago. de 2020,52171,9635
24 de ago. de 2020,264206,34944
25 de ago. de 2020,267141,35924
26 de ago. de 2020,270856,36076
27 de ago. de 2020,267807,35680
28 de ago. de 2020,270145,37320
29 de ago. de 2020,140442,19527
30 de ago. de 2020,61314,11151
31 de ago. de 2020,270798,36910
1 de set. de 2020,274697,38445
2 de set. de 2020,275280,39404
3 de set. de 2020,278173,39867
4 de set. de 2020,280584,42297
5 de set. de 2020,143996,21852
6 de set. de 2020,60548,11581
7 de set. de 2020,75825,12288
8 de set. de 2020,108760,16260
9 de set. de 2020,290979,47389
10 de set. de 2020,290319,42778
11 de set. de 2020,286270,40574
12 de set. de 2020,142657,20283
13 de set. de 2020,46309,10783
14 de set. de 2020,285618,39835
15 de set. de 2020,286025,39337
16 de set. de 2020,287920,39485
17 de set. de 2020,284580,36654
18 de set. de 2020,288066,38839
19 de set. de 2020,144364,20278
20 de set. de 2020,45458,10149
21 de set. de 2020,284130,37431
22 de set. de 2020,287857,37298
23 de set. de 2020,287772,37280
24 de set. de 2020,290846,37875
25 de set. de 2020,290040,39628
26 de set. de 2020,146415,20519
27 de set. de 2020,57933,11370
28 de set. de 2020,250426,27767
29 de set. de 2020,296786,42575
30 de set. de 2020,293943,40961
1 de out. de 2020,298979,42892
2 de out. de 2020,297208,43051
3 de out. de 2020,151466,22163
4 de out. de 2020,62600,12134
5 de out. de 2020,302811,45743
6 de out. de 2020,309142,44536
7 de out. de 2020,313228,46647
8 de out. de 2020,290000,36553
9 de out. de 2020,288441,36478
10 de out. de 2020,165102,25426
11 de out. de 2020,70160,13182
12 de out. de 2020,85671,14192
13 de out. de 2020,315347,47179
14 de out. de 2020,319347,46120
15 de out. de 2020,315700,44003
16 de out. de 2020,313025,44451
17 de out. de 2020,160134,22519
18 de out. de 2020,66688,12841
19 de out. de 2020,307795,42869
20 de out. de 2020,319855,44242
21 de out. de 2020,320550,44442
22 de out. de 2020,315919,42010
23 de out. de 2020,313871,42997
24 de out. de 2020,157358,21635
25 de out. de 2020,68200,13126
26 de out. de 2020,311614,43637
27 de out. de 2020,320234,44342
28 de out. de 2020,322013,45651
29 de out. de 2020,317335,42980
30 de out. de 2020,294054,38032
31 de out. de 2020,156998,22764
1 de nov. de 2020,68544,13878
2 de nov. de 2020,85179,16635
3 de nov. de 2020,317522,49075
4 de nov. de 2020,325421,47932
5 de nov. de 2020,327751,49244
6 de nov. de 2020,332350,50689
7 de nov. de 2020,173490,26122
8 de nov. de 2020,73526,14326
9 de nov. de 2020,323561,49484
10 de nov. de 2020,329643,49091
11 de nov. de 2020,299716,35561
12 de nov. de 2020,325240,46859
13 de nov. de 2020,321726,44804
14 de nov. de 2020,169236,24320
15 de nov. de 2020,86278,18763
16 de nov. de 2020,319295,44001
17 de nov. de 2020,325070,45237
18 de nov. de 2020,301671,35454
19 de nov. de 2020,308218,39549
20 de nov. de 2020,321039,44663
21 de nov. de 2020,163733,22355
22 de nov. de 2020,73119,13344
23 de nov. de 2020,316899,42665
24 de nov. de 2020,319008,42848
25 de nov. de 2020,325991,43845
26 de nov. de 2020,317113,41426
27 de nov. de 2020,313375,42178
28 de nov. de 2020,168802,22972
29 de nov. de 2020,70570,12731
30 de nov. de 2020,314133,43522
1 de dez. de 2020,317562,44754
2 de dez. de 2020,317951,44238
3 de dez. de 2020,298553,39788
4 de dez. de 2020,309538,43429
5 de dez. de 2020,150638,18823
6 de dez. de 2020,41160,8673
7 de dez. de 2020,323171,46632
8 de dez. de 2020,323642,45433
9 de dez. de 2020,322493,42932
10 de dez. de 2020,322753,43340
11 de dez. de 2020,320395,42004
12 de dez. de 2020,172056,22349
13 de dez. de 2020,49336,10675
14 de dez. de 2020,316462,40793
15 de dez. de 2020,318464,41670
16 de dez. de 2020,322507,42596
17 de dez. de 2020,318707,40525
18 de dez. de 2020,320317,41573
19 de dez. de 2020,187135,23433
20 de dez. de 2020,80499,11980
21 de dez. de 2020,313219,42100
22 de dez. de 2020,306261,41747
23 de dez. de 2020,287137,40015
24 de dez. de 2020,159022,24710
25 de dez. de 2020,36364,8151
26 de dez. de 2020,119583,17505
27 de dez. de 2020,47275,10471
28 de dez. de 2020,240975,35173
29 de dez. de 2020,240532,35095
30 de dez. de 2020,230682,36222
31 de dez. de 2020,113125,19310
