DATA,TOTAL S/ ISENTOS,Passageiros Isentos
8 de mar. de 2023,515037,88704
10 de mar. de 2023,473594,73614
11 de mar. de 2023,211852,35642
12 de mar. de 2023,96787,21977
13 de mar. de 2023,489701,77935
14 de mar. de 2023,502570,79969
15 de mar. de 2023,507712,83623
16 de mar. de 2023,501551,78220
17 de mar. de 2023,487210,77858
18 de mar. de 2023,219625,37168
19 de mar. de 2023,101334,22473
20 de mar. de 2023,496622,76270
21 de mar. de 2023,513175,78417
22 de mar. de 2023,517036,81409
23 de mar. de 2023,512817,76749
24 de mar. de 2023,494685,75774
25 de mar. de 2023,216258,37297
26 de mar. de 2023,97971,21286
27 de mar. de 2023,497873,76922
28 de mar. de 2023,513881,80630
29 de mar. de 2023,512709,82273
30 de mar. de 2023,511849,77809
31 de mar. de 2023,499315,79721
1 de abr. de 2023,226835,39394
2 de abr. de 2023,103793,23079
3 de abr. de 2023,507838,85755
4 de abr. de 2023,517316,88053
5 de abr. de 2023,522729,94319
6 de abr. de 2023,472015,80698
7 de abr. de 2023,119782,21581
8 de abr. de 2023,186000,37382
9 de abr. de 2023,91490,19948
10 de abr. de 2023,490407,86492
11 de abr. de 2023,524419,88646
12 de abr. de 2023,512150,86986
13 de abr. de 2023,510982,81306
14 de abr. de 2023,470867,71860
15 de abr. de 2023,215734,36289
16 de abr. de 2023,93086,22195
17 de abr. de 2023,499768,80000
18 de abr. de 2023,484637,66118
19 de abr. de 2023,516052,86448
20 de abr. de 2023,479059,80135
21 de abr. de 2023,138445,24150
22 de abr. de 2023,192750,35889
23 de abr. de 2023,99715,21892
24 de abr. de 2023,494789,79479
25 de abr. de 2023,515542,83154
26 de abr. de 2023,510288,82780
27 de abr. de 2023,510417,81570
28 de abr. de 2023,490458,80417
29 de abr. de 2023,214111,37427
30 de abr. de 2023,99285,21642
1 de mai. de 2023,91913,20132
2 de mai. de 2023,495282,86680
3 de mai. de 2023,515478,89464
4 de mai. de 2023,509993,85398
5 de mai. de 2023,497524,86263
6 de mai. de 2023,224430,40402
7 de mai. de 2023,101770,23871
8 de mai. de 2023,499946,87119
9 de mai. de 2023,511979,85699
10 de mai. de 2023,517747,89565
11 de mai. de 2023,513536,83542
12 de mai. de 2023,487696,80120
13 de mai. de 2023,218967,38907
14 de mai. de 2023,92237,19910
15 de mai. de 2023,494313,77592
16 de mai. de 2023,507156,81971
17 de mai. de 2023,510429,85087
18 de mai. de 2023,503150,78431
19 de mai. de 2023,487517,78171
20 de mai. de 2023,220649,38006
21 de mai. de 2023,96515,22406
22 de mai. de 2023,490972,78157
23 de mai. de 2023,506867,80943
24 de mai. de 2023,506331,83657
25 de mai. de 2023,501119,80023
26 de mai. de 2023,485559,79138
27 de mai. de 2023,214611,37338
28 de mai. de 2023,81999,17916
29 de mai. de 2023,485055,76069
30 de mai. de 2023,497207,77738
31 de mai. de 2023,492586,78808
1 de jun. de 2023,503215,83450
2 de jun. de 2023,483106,83063
3 de jun. de 2023,220647,40481
4 de jun. de 2023,97433,23456
5 de jun. de 2023,496470,87403
6 de jun. de 2023,512217,90300
7 de jun. de 2023,509093,95076
8 de jun. de 2023,146076,28678
9 de jun. de 2023,350005,67006
10 de jun. de 2023,212352,39859
11 de jun. de 2023,96693,22313
12 de jun. de 2023,456625,64948
13 de jun. de 2023,458994,59465
14 de jun. de 2023,482439,68884
15 de jun. de 2023,482103,69085
16 de jun. de 2023,482337,77720
17 de jun. de 2023,210126,35899
18 de jun. de 2023,92564,20273
19 de jun. de 2023,486655,79688
20 de jun. de 2023,499576,81751
21 de jun. de 2023,501914,83462
22 de jun. de 2023,497011,77786
23 de jun. de 2023,478410,77784
24 de jun. de 2023,217791,38993
25 de jun. de 2023,105574,23771
26 de jun. de 2023,477834,79629
27 de jun. de 2023,491633,83823
28 de jun. de 2023,494298,86291
29 de jun. de 2023,480496,76064
30 de jun. de 2023,470158,79387
1 de jul. de 2023,210502,39639
2 de jul. de 2023,97852,22418
3 de jul. de 2023,462257,82484
4 de jul. de 2023,474283,85983
5 de jul. de 2023,472077,88595
6 de jul. de 2023,468008,83372
7 de jul. de 2023,446366,83707
8 de jul. de 2023,200689,34911
9 de jul. de 2023,86976,18835
10 de jul. de 2023,399008,65406
11 de jul. de 2023,412548,65203
12 de jul. de 2023,443486,81044
13 de jul. de 2023,421811,65942
14 de jul. de 2023,419895,70500
15 de jul. de 2023,205287,36636
16 de jul. de 2023,96663,21724
17 de jul. de 2023,413892,69889
18 de jul. de 2023,411439,60557
19 de jul. de 2023,423605,68552
20 de jul. de 2023,436593,70028
21 de jul. de 2023,431105,72446
22 de jul. de 2023,213295,37692
23 de jul. de 2023,101259,22452
24 de jul. de 2023,459555,75799
25 de jul. de 2023,474718,82121
26 de jul. de 2023,481088,83740
27 de jul. de 2023,426907,77546
28 de jul. de 2023,452375,72978
29 de jul. de 2023,204400,34674
30 de jul. de 2023,97057,22156
31 de jul. de 2023,477028,80934
1 de ago. de 2023,492011,86318
2 de ago. de 2023,495341,89471
3 de ago. de 2023,495828,86024
4 de ago. de 2023,481205,86404
5 de ago. de 2023,223507,41569
6 de ago. de 2023,107443,24237
7 de ago. de 2023,496064,89213
8 de ago. de 2023,496705,79529
9 de ago. de 2023,460837,65501
10 de ago. de 2023,490222,73738
11 de ago. de 2023,469545,69137
12 de ago. de 2023,182539,28994
13 de ago. de 2023,87759,19060
14 de ago. de 2023,497020,82385
15 de ago. de 2023,509892,86254
16 de ago. de 2023,513084,87989
17 de ago. de 2023,510649,83466
18 de ago. de 2023,491920,81656
19 de ago. de 2023,211197,36974
20 de ago. de 2023,100457,22958
21 de ago. de 2023,497857,82495
22 de ago. de 2023,513652,85070
23 de ago. de 2023,517518,86846
24 de ago. de 2023,509079,80443
25 de ago. de 2023,463180,66135
26 de ago. de 2023,207091,36834
27 de ago. de 2023,93057,20709
28 de ago. de 2023,472193,75880
29 de ago. de 2023,500457,81526
30 de ago. de 2023,510063,88870
31 de ago. de 2023,508645,85442
1 de set. de 2023,494284,87926
2 de set. de 2023,190823,30896
3 de set. de 2023,99181,23953
4 de set. de 2023,492543,86928
5 de set. de 2023,508242,92243
6 de set. de 2023,493450,91945
7 de set. de 2023,129296,23946
8 de set. de 2023,165284,34206
9 de set. de 2023,172600,36135
10 de set. de 2023,94110,23053
11 de set. de 2023,496118,92147
12 de set. de 2023,509042,90461
13 de set. de 2023,507048,89834
14 de set. de 2023,509429,84927
15 de set. de 2023,490619,84281
16 de set. de 2023,221333,40147
17 de set. de 2023,100696,23953
18 de set. de 2023,494158,82166
19 de set. de 2023,499762,83507
20 de set. de 2023,512580,88678
21 de set. de 2023,511032,84990
22 de set. de 2023,486397,78572
23 de set. de 2023,216287,39711
24 de set. de 2023,97918,22607
25 de set. de 2023,487815,79902
26 de set. de 2023,501503,84754
27 de set. de 2023,508165,86202
28 de set. de 2023,504797,81644
29 de set. de 2023,489259,83117
30 de set. de 2023,200688,34743
1 de out. de 2023,92786,22079
2 de out. de 2023,493623,87899
3 de out. de 2023,510715,92304
4 de out. de 2023,458771,65248
5 de out. de 2023,481081,75794
6 de out. de 2023,491419,90427
7 de out. de 2023,205021,35611
8 de out. de 2023,77607,15808
9 de out. de 2023,504437,89765
10 de out. de 2023,518825,95487
11 de out. de 2023,505383,93137
12 de out. de 2023,101724,15918
13 de out. de 2023,299197,47959
14 de out. de 2023,193494,36150
15 de out. de 2023,90660,21870
16 de out. de 2023,472118,80254
17 de out. de 2023,498099,82053
18 de out. de 2023,505904,88974
19 de out. de 2023,496392,78209
20 de out. de 2023,482545,82549
21 de out. de 2023,219050,40195
22 de out. de 2023,104182,24750
23 de out. de 2023,491242,84263
24 de out. de 2023,508069,86065
25 de out. de 2023,510407,90910
26 de out. de 2023,504609,86623
27 de out. de 2023,418336,73924
28 de out. de 2023,205209,36996
29 de out. de 2023,81056,16013
30 de out. de 2023,496591,84953
31 de out. de 2023,502599,87144
1 de nov. de 2023,506696,96616
2 de nov. de 2023,129071,29123
3 de nov. de 2023,318739,53602
4 de nov. de 2023,209229,41736
5 de nov. de 2023,106141,25643
6 de nov. de 2023,499331,96387
7 de nov. de 2023,514888,98867
8 de nov. de 2023,517574,100295
9 de nov. de 2023,511187,91244
10 de nov. de 2023,489289,89526
11 de nov. de 2023,223475,42017
12 de nov. de 2023,103994,24015
13 de nov. de 2023,498929,85511
14 de nov. de 2023,495664,86723
15 de nov. de 2023,143437,31491
16 de nov. de 2023,507665,89457
17 de nov. de 2023,461884,79471
18 de nov. de 2023,205448,37910
19 de nov. de 2023,92519,21139
20 de nov. de 2023,503742,91396
21 de nov. de 2023,506023,90583
22 de nov. de 2023,562456,101065
23 de nov. de 2023,486691,76731
24 de nov. de 2023,492999,87995
25 de nov. de 2023,223507,42260
26 de nov. de 2023,102260,24954
27 de nov. de 2023,486227,87725
28 de nov. de 2023,484612,83459
29 de nov. de 2023,498969,92144
30 de nov. de 2023,498684,89704
1 de dez. de 2023,483401,90931
2 de dez. de 2023,234055,44132
3 de dez. de 2023,110790,25015
4 de dez. de 2023,476956,91728
5 de dez. de 2023,496875,97880
6 de dez. de 2023,442083,98914
7 de dez. de 2023,486785,92621
8 de dez. de 2023,475967,92832
9 de dez. de 2023,240663,46177
10 de dez. de 2023,98449,21657
11 de dez. de 2023,475942,93282
12 de dez. de 2023,485446,94132
13 de dez. de 2023,487522,95744
14 de dez. de 2023,477703,87424
15 de dez. de 2023,458209,85456
16 de dez. de 2023,246249,45754
17 de dez. de 2023,129512,28072
18 de dez. de 2023,436585,81775
19 de dez. de 2023,448476,86471
20 de dez. de 2023,445428,89785
21 de dez. de 2023,418921,80919
22 de dez. de 2023,377264,72486
23 de dez. de 2023,191454,40424
24 de dez. de 2023,87087,21912
25 de dez. de 2023,51751,13583
26 de dez. de 2023,287876,53440
27 de dez. de 2023,313835,66308
28 de dez. de 2023,306805,61030
29 de dez. de 2023,274618,57379
30 de dez. de 2023,154776,37134
31 de dez. de 2023,68833,20245
