DATA,TOTAL S/ ISENTOS,Passageiros Isentos
1 de jan. de 2023,50465,12502
2 de jan. de 2023,271999,47219
3 de jan. de 2023,339696,59902
4 de jan. de 2023,312378,45335
5 de jan. de 2023,366212,67030
6 de jan. de 2023,374095,70537
7 de jan. de 2023,194465,34481
8 de jan. de 2023,91766,20199
9 de jan. de 2023,394215,69108
10 de jan. de 2023,403152,67713
11 de jan. de 2023,409348,69345
12 de jan. de 2023,410157,65427
13 de jan. de 2023,405974,65314
14 de jan. de 2023,199334,33014
15 de jan. de 2023,96970,20546
16 de jan. de 2023,408591,64098
17 de jan. de 2023,418367,63791
18 de jan. de 2023,419764,66002
19 de jan. de 2023,432595,66540
20 de jan. de 2023,422712,65264
21 de jan. de 2023,215885,35081
22 de jan. de 2023,99451,21083
23 de jan. de 2023,418721,64833
24 de jan. de 2023,443046,69378
25 de jan. de 2023,450819,72058
26 de jan. de 2023,439184,68308
27 de jan. de 2023,431544,69115
28 de jan. de 2023,208304,35080
29 de jan. de 2023,98343,20936
30 de jan. de 2023,424034,68245
31 de jan. de 2023,443267,69759
1 de fev. de 2023,452459,76144
2 de fev. de 2023,447781,70413
3 de fev. de 2023,441759,73611
4 de fev. de 2023,214014,36268
5 de fev. de 2023,103037,22667
6 de fev. de 2023,468334,79138
7 de fev. de 2023,477027,80742
8 de fev. de 2023,479101,80981
9 de fev. de 2023,483815,76448
10 de fev. de 2023,459821,73552
11 de fev. de 2023,215748,36390
12 de fev. de 2023,104150,23308
13 de fev. de 2023,472282,74519
14 de fev. de 2023,482640,77264
15 de fev. de 2023,487893,78595
16 de fev. de 2023,485890,75514
17 de fev. de 2023,449069,70664
18 de fev. de 2023,185195,30536
19 de fev. de 2023,88765,16801
20 de fev. de 2023,201733,33378
21 de fev. de 2023,148040,23785
22 de fev. de 2023,367510,60652
23 de fev. de 2023,456217,72008
24 de fev. de 2023,464729,75893
25 de fev. de 2023,217326,36953
26 de fev. de 2023,94528,21586
27 de fev. de 2023,482189,77594
28 de fev. de 2023,494836,80940
3 de mar. de 2023,478076,79353
4 de mar. de 2023,209687,37027
5 de mar. de 2023,88975,20270
6 de mar. de 2023,483158,81443
7 de mar. de 2023,504359,85489
