DATA,TOTAL S/ ISENTOS,Passageiros Isentos
1 de jan. de 2021,33575,8703
2 de jan. de 2021,95419,16489
3 de jan. de 2021,46325,11299
4 de jan. de 2021,271733,42414
5 de jan. de 2021,280883,42546
6 de jan. de 2021,285868,42570
7 de jan. de 2021,292120,42090
8 de jan. de 2021,290205,44362
9 de jan. de 2021,158800,24026
10 de jan. de 2021,52689,11432
11 de jan. de 2021,303932,45041
12 de jan. de 2021,311400,42780
13 de jan. de 2021,308346,41193
14 de jan. de 2021,307570,40296
15 de jan. de 2021,309524,41313
16 de jan. de 2021,157254,21093
17 de jan. de 2021,55069,10981
18 de jan. de 2021,292225,36528
19 de jan. de 2021,299365,35063
20 de jan. de 2021,315821,41411
21 de jan. de 2021,316173,39785
22 de jan. de 2021,314305,41535
23 de jan. de 2021,159945,21349
24 de jan. de 2021,53935,10942
25 de jan. de 2021,313009,41328
26 de jan. de 2021,321721,42323
27 de jan. de 2021,319845,41242
28 de jan. de 2021,314921,40464
29 de jan. de 2021,317656,42647
30 de jan. de 2021,158404,21400
31 de jan. de 2021,71891,13290
1 de fev. de 2021,320651,45003
2 de fev. de 2021,326041,45130
3 de fev. de 2021,329553,46170
4 de fev. de 2021,328512,43912
5 de fev. de 2021,336145,49728
6 de fev. de 2021,171049,24349
7 de fev. de 2021,73663,13593
8 de fev. de 2021,333748,49424
9 de fev. de 2021,340996,48032
10 de fev. de 2021,341401,48685
11 de fev. de 2021,335341,43060
12 de fev. de 2021,330205,45478
13 de fev. de 2021,163758,23141
14 de fev. de 2021,71720,13233
15 de fev. de 2021,244581,34545
16 de fev. de 2021,218482,28774
17 de fev. de 2021,311101,41676
18 de fev. de 2021,341636,45929
19 de fev. de 2021,337345,45030
20 de fev. de 2021,171459,23174
21 de fev. de 2021,78187,13941
22 de fev. de 2021,344736,45209
23 de fev. de 2021,347373,45119
24 de fev. de 2021,341092,43335
25 de fev. de 2021,343057,42443
26 de fev. de 2021,337306,44840
27 de fev. de 2021,124329,18187
28 de fev. de 2021,39053,7781
1 de mar. de 2021,260079,35644
2 de mar. de 2021,259006,35991
3 de mar. de 2021,264170,36178
4 de mar. de 2021,265489,36690
5 de mar. de 2021,264979,38329
6 de mar. de 2021,121606,18381
7 de mar. de 2021,42651,8932
8 de mar. de 2021,269852,39325
9 de mar. de 2021,266948,34271
10 de mar. de 2021,311912,44016
11 de mar. de 2021,307105,39558
12 de mar. de 2021,302876,39611
13 de mar. de 2021,105890,15752
14 de mar. de 2021,38203,7827
15 de mar. de 2021,216176,28559
16 de mar. de 2021,210194,28130
17 de mar. de 2021,211721,28002
18 de mar. de 2021,210726,27303
19 de mar. de 2021,208544,27705
20 de mar. de 2021,86623,13019
21 de mar. de 2021,35576,7155
22 de mar. de 2021,213699,27924
