DATA,TOTAL S/ ISENTOS,Passageiros Isentos
23 de mar. de 2021,216489,28245
24 de mar. de 2021,218013,28223
25 de mar. de 2021,220855,28977
26 de mar. de 2021,220046,29311
27 de mar. de 2021,105745,16057
28 de mar. de 2021,38822,8519
29 de mar. de 2021,234986,31604
30 de mar. de 2021,239898,33185
31 de mar. de 2021,248458,34066
1 de abr. de 2021,243756,36121
2 de abr. de 2021,70474,11097
3 de abr. de 2021,103615,18172
4 de abr. de 2021,39800,8954
5 de abr. de 2021,281966,41909
6 de abr. de 2021,293721,41856
7 de abr. de 2021,299113,42614
8 de abr. de 2021,301718,42520
9 de abr. de 2021,299887,41525
10 de abr. de 2021,153357,21120
11 de abr. de 2021,45889,9889
12 de abr. de 2021,301494,42212
13 de abr. de 2021,305249,40064
14 de abr. de 2021,307087,40465
15 de abr. de 2021,309110,39803
16 de abr. de 2021,305817,40888
17 de abr. de 2021,153058,20933
18 de abr. de 2021,48484,9994
19 de abr. de 2021,307700,41219
20 de abr. de 2021,317792,43583
21 de abr. de 2021,106914,16564
22 de abr. de 2021,317515,42656
23 de abr. de 2021,312517,41327
24 de abr. de 2021,158572,21479
25 de abr. de 2021,49663,10797
26 de abr. de 2021,315545,42908
27 de abr. de 2021,318823,41852
28 de abr. de 2021,321792,42722
29 de abr. de 2021,318417,40607
30 de abr. de 2021,316107,43240
1 de mai. de 2021,103026,16593
2 de mai. de 2021,52621,11487
3 de mai. de 2021,320618,46624
4 de mai. de 2021,327399,47282
5 de mai. de 2021,329205,48108
6 de mai. de 2021,324010,45277
7 de mai. de 2021,311540,44489
8 de mai. de 2021,161909,21858
9 de mai. de 2021,67477,11547
10 de mai. de 2021,301258,43917
11 de mai. de 2021,323328,45814
12 de mai. de 2021,328215,35187
13 de mai. de 2021,325801,44112
14 de mai. de 2021,327130,43995
15 de mai. de 2021,162311,21976
16 de mai. de 2021,53554,11359
17 de mai. de 2021,325532,45618
18 de mai. de 2021,330109,45719
19 de mai. de 2021,326041,44382
20 de mai. de 2021,331370,43411
21 de mai. de 2021,324720,44487
22 de mai. de 2021,112632,13909
23 de mai. de 2021,47418,9616
24 de mai. de 2021,320530,41595
25 de mai. de 2021,324389,43326
26 de mai. de 2021,319980,43016
27 de mai. de 2021,321990,42498
28 de mai. de 2021,317615,43376
29 de mai. de 2021,124138,16668
30 de mai. de 2021,42113,8441
31 de mai. de 2021,282665,38399
1 de jun. de 2021,286571,42385
2 de jun. de 2021,287632,44297
3 de jun. de 2021,83824,12692
4 de jun. de 2021,242670,40213
5 de jun. de 2021,121554,19180
6 de jun. de 2021,45220,10246
7 de jun. de 2021,271584,36693
8 de jun. de 2021,291126,44610
9 de jun. de 2021,314916,47451
10 de jun. de 2021,322211,46100
11 de jun. de 2021,323840,46301
12 de jun. de 2021,164530,23359
13 de jun. de 2021,54812,11104
14 de jun. de 2021,316716,43960
15 de jun. de 2021,327848,45774
16 de jun. de 2021,324022,43794
17 de jun. de 2021,321410,40313
18 de jun. de 2021,316504,40875
19 de jun. de 2021,128976,12874
20 de jun. de 2021,55217,10659
21 de jun. de 2021,317449,41106
22 de jun. de 2021,323646,40157
23 de jun. de 2021,325678,42406
24 de jun. de 2021,328673,41957
25 de jun. de 2021,326681,44658
26 de jun. de 2021,165340,21941
27 de jun. de 2021,61572,12088
28 de jun. de 2021,307495,36262
29 de jun. de 2021,312873,39338
30 de jun. de 2021,317334,42097
1 de jul. de 2021,325068,44417
2 de jul. de 2021,327517,47696
3 de jul. de 2021,168313,23573
4 de jul. de 2021,59504,11658
5 de jul. de 2021,325396,47991
6 de jul. de 2021,330196,47150
7 de jul. de 2021,339255,51223
8 de jul. de 2021,335996,48045
9 de jul. de 2021,332435,48304
10 de jul. de 2021,177776,24195
11 de jul. de 2021,73681,13275
12 de jul. de 2021,331308,48750
13 de jul. de 2021,334206,47269
14 de jul. de 2021,334527,47090
15 de jul. de 2021,334891,45190
16 de jul. de 2021,318606,38545
17 de jul. de 2021,171625,22505
18 de jul. de 2021,74954,12318
19 de jul. de 2021,325777,42177
20 de jul. de 2021,333764,43835
21 de jul. de 2021,339937,45810
22 de jul. de 2021,339803,44377
23 de jul. de 2021,338563,44888
24 de jul. de 2021,177032,23259
25 de jul. de 2021,78109,13877
26 de jul. de 2021,343924,47440
27 de jul. de 2021,339110,42865
28 de jul. de 2021,333764,41933
29 de jul. de 2021,326104,39685
30 de jul. de 2021,331632,44319
31 de jul. de 2021,170520,22570
1 de ago. de 2021,72003,12812
2 de ago. de 2021,339078,49475
3 de ago. de 2021,360451,51625
4 de ago. de 2021,355389,50778
5 de ago. de 2021,356224,50570
6 de ago. de 2021,360686,53336
7 de ago. de 2021,185280,24984
8 de ago. de 2021,79866,14045
9 de ago. de 2021,358843,52231
10 de ago. de 2021,369930,54065
11 de ago. de 2021,358176,48548
12 de ago. de 2021,344867,42098
13 de ago. de 2021,308106,30809
14 de ago. de 2021,169813,22138
15 de ago. de 2021,75919,13648
16 de ago. de 2021,331137,38068
17 de ago. de 2021,371827,52064
18 de ago. de 2021,370331,51374
19 de ago. de 2021,370609,48654
20 de ago. de 2021,367975,49014
21 de ago. de 2021,189305,25168
22 de ago. de 2021,81172,14829
23 de ago. de 2021,365915,48741
24 de ago. de 2021,374884,49585
25 de ago. de 2021,375922,51389
26 de ago. de 2021,365565,45036
27 de ago. de 2021,361915,45678
28 de ago. de 2021,173412,21351
29 de ago. de 2021,77963,13339
30 de ago. de 2021,370751,50236
31 de ago. de 2021,377350,51695
1 de set. de 2021,382121,56111
2 de set. de 2021,383522,54171
3 de set. de 2021,379489,55555
4 de set. de 2021,189649,26514
5 de set. de 2021,85352,14469
6 de set. de 2021,247167,42581
7 de set. de 2021,102252,15125
8 de set. de 2021,166706,23732
9 de set. de 2021,387904,60037
10 de set. de 2021,387058,57790
11 de set. de 2021,188549,26618
12 de set. de 2021,84685,15437
13 de set. de 2021,382890,54447
14 de set. de 2021,380328,49313
15 de set. de 2021,386968,52606
16 de set. de 2021,368851,41827
17 de set. de 2021,374509,47732
18 de set. de 2021,189915,27142
19 de set. de 2021,85813,15349
20 de set. de 2021,387006,52979
21 de set. de 2021,394182,52349
22 de set. de 2021,395231,52711
23 de set. de 2021,392830,50995
24 de set. de 2021,390896,52280
25 de set. de 2021,197613,26108
26 de set. de 2021,94410,15939
27 de set. de 2021,389937,53360
28 de set. de 2021,401032,54173
29 de set. de 2021,400785,53921
30 de set. de 2021,401591,53652
1 de out. de 2021,370489,45897
2 de out. de 2021,198376,28839
3 de out. de 2021,69628,10523
4 de out. de 2021,379116,48360
5 de out. de 2021,410238,61510
6 de out. de 2021,414748,60623
7 de out. de 2021,412050,57680
8 de out. de 2021,411423,59169
9 de out. de 2021,196119,26179
10 de out. de 2021,85469,14719
11 de out. de 2021,299794,43884
12 de out. de 2021,119719,17615
13 de out. de 2021,419503,62493
14 de out. de 2021,419796,56819
15 de out. de 2021,395975,49115
16 de out. de 2021,204627,27962
17 de out. de 2021,81475,14256
18 de out. de 2021,404388,51838
19 de out. de 2021,414381,54694
20 de out. de 2021,422479,57730
21 de out. de 2021,419848,55236
22 de out. de 2021,418984,56331
23 de out. de 2021,204334,26913
24 de out. de 2021,84346,14922
25 de out. de 2021,417914,57249
26 de out. de 2021,428115,60374
27 de out. de 2021,431127,60521
28 de out. de 2021,428874,58252
29 de out. de 2021,423072,61923
30 de out. de 2021,209679,29324
31 de out. de 2021,88042,15218
1 de nov. de 2021,304000,44616
2 de nov. de 2021,121245,22266
3 de nov. de 2021,442743,68724
4 de nov. de 2021,439621,63958
5 de nov. de 2021,441064,65856
6 de nov. de 2021,224599,30871
7 de nov. de 2021,98094,17414
8 de nov. de 2021,438885,65393
9 de nov. de 2021,445617,65520
10 de nov. de 2021,449576,65979
11 de nov. de 2021,439616,57601
12 de nov. de 2021,435199,60329
13 de nov. de 2021,217134,29828
14 de nov. de 2021,108397,17792
15 de nov. de 2021,122625,19110
16 de nov. de 2021,444648,63304
17 de nov. de 2021,449751,63761
18 de nov. de 2021,433107,55319
19 de nov. de 2021,441794,60805
20 de nov. de 2021,226069,30989
21 de nov. de 2021,114579,18888
22 de nov. de 2021,438887,60901
23 de nov. de 2021,447167,60504
24 de nov. de 2021,449359,64141
25 de nov. de 2021,449478,60512
26 de nov. de 2021,445611,61412
27 de nov. de 2021,228869,31406
28 de nov. de 2021,107409,18836
29 de nov. de 2021,433381,60269
30 de nov. de 2021,449812,63175
1 de dez. de 2021,451296,66564
2 de dez. de 2021,448823,64822
3 de dez. de 2021,446757,64991
4 de dez. de 2021,241961,33190
5 de dez. de 2021,108306,18635
6 de dez. de 2021,439953,66152
7 de dez. de 2021,448681,67870
8 de dez. de 2021,455604,69852
9 de dez. de 2021,452335,65346
10 de dez. de 2021,442902,64548
11 de dez. de 2021,244580,32696
12 de dez. de 2021,117573,19276
13 de dez. de 2021,432454,62243
14 de dez. de 2021,430753,61070
15 de dez. de 2021,442904,65002
16 de dez. de 2021,446233,61911
17 de dez. de 2021,432293,62293
18 de dez. de 2021,248382,33479
19 de dez. de 2021,130822,20814
20 de dez. de 2021,417647,61210
21 de dez. de 2021,413041,58442
22 de dez. de 2021,395766,58014
23 de dez. de 2021,364814,52525
24 de dez. de 2021,194658,32131
25 de dez. de 2021,54470,10923
26 de dez. de 2021,88961,15304
27 de dez. de 2021,293200,41255
28 de dez. de 2021,306660,45943
29 de dez. de 2021,292396,44856
30 de dez. de 2021,249297,36483
31 de dez. de 2021,132611,24377
