DATA,TOTAL S/ ISENTOS,Passageiros Isentos
5 de jul. de 2024,463039,88297
6 de jul. de 2024,207979,38836
7 de jul. de 2024,91795,21169
8 de jul. de 2024,412101,67752
9 de jul. de 2024,416080,65366
10 de jul. de 2024,445665,81985
11 de jul. de 2024,424257,72093
12 de jul. de 2024,416029,71070
13 de jul. de 2024,180420,29894
14 de jul. de 2024,77364,16635
15 de jul. de 2024,404745,62888
16 de jul. de 2024,428661,71599
17 de jul. de 2024,446706,80928
18 de jul. de 2024,451248,77423
19 de jul. de 2024,441024,77145
20 de jul. de 2024,214190,39096
21 de jul. de 2024,94863,22382
22 de jul. de 2024,449214,80035
23 de jul. de 2024,468056,82390
24 de jul. de 2024,483049,87196
25 de jul. de 2024,485160,83121
26 de jul. de 2024,469475,80779
27 de jul. de 2024,212137,38766
28 de jul. de 2024,98762,22849
29 de jul. de 2024,454808,67542
30 de jul. de 2024,481180,76352
1 de ago. de 2024,494041,87580
2 de ago. de 2024,481068,86772
3 de ago. de 2024,212260,40165
4 de ago. de 2024,97162,23841
5 de ago. de 2024,490728,89404
6 de ago. de 2024,510640,93542
7 de ago. de 2024,515050,97584
8 de ago. de 2024,503056,85801
9 de ago. de 2024,472469,74179
10 de ago. de 2024,209685,37859
11 de ago. de 2024,90970,20393
12 de ago. de 2024,484744,82825
13 de ago. de 2024,497891,82365
14 de ago. de 2024,499131,86311
15 de ago. de 2024,505148,84754
16 de ago. de 2024,483120,81720
17 de ago. de 2024,214101,38935
18 de ago. de 2024,99675,23092
19 de ago. de 2024,491083,82601
20 de ago. de 2024,506086,86162
21 de ago. de 2024,512454,89966
22 de ago. de 2024,502825,83151
23 de ago. de 2024,469466,75823
24 de ago. de 2024,169253,23515
25 de ago. de 2024,90252,20729
26 de ago. de 2024,477983,78957
27 de ago. de 2024,499226,83650
28 de ago. de 2024,498571,87123
29 de ago. de 2024,502232,84473
30 de ago. de 2024,484470,83335
31 de ago. de 2024,215339,39330
1 de set. de 2024,97134,23277
2 de set. de 2024,501128,87214
3 de set. de 2024,514520,90340
4 de set. de 2024,513570,92465
5 de set. de 2024,486922,76095
6 de set. de 2024,483047,88721
7 de set. de 2024,148027,30962
8 de set. de 2024,94808,23018
9 de set. de 2024,491053,88930
10 de set. de 2024,513826,90665
11 de set. de 2024,514848,90346
12 de set. de 2024,508706,83611
13 de set. de 2024,489302,82052
14 de set. de 2024,209989,36838
15 de set. de 2024,67558,13378
16 de set. de 2024,482517,74534
17 de set. de 2024,512153,83494
18 de set. de 2024,504077,82824
19 de set. de 2024,492196,72553
20 de set. de 2024,473637,73494
21 de set. de 2024,211336,38016
22 de set. de 2024,98946,23343
23 de set. de 2024,504473,83633
24 de set. de 2024,517062,86866
25 de set. de 2024,514854,88506
26 de set. de 2024,511513,83207
27 de set. de 2024,496785,81271
28 de set. de 2024,219615,39751
29 de set. de 2024,105285,23535
30 de set. de 2024,498468,84900
1 de out. de 2024,520311,88919
2 de out. de 2024,511674,85189
3 de out. de 2024,507293,83334
4 de out. de 2024,493570,85433
5 de out. de 2024,220807,40979
6 de out. de 2024,0,0
7 de out. de 2024,508094,91816
8 de out. de 2024,520595,92674
9 de out. de 2024,504033,78744
10 de out. de 2024,496428,77984
11 de out. de 2024,472505,71072
12 de out. de 2024,151478,31982
13 de out. de 2024,95679,22657
14 de out. de 2024,460725,82672
15 de out. de 2024,515513,86767
16 de out. de 2024,520994,90112
17 de out. de 2024,517465,85107
18 de out. de 2024,493003,80601
19 de out. de 2024,198561,31673
20 de out. de 2024,95587,22646
21 de out. de 2024,501581,83490
22 de out. de 2024,527149,85554
23 de out. de 2024,496356,73627
24 de out. de 2024,513425,81257
25 de out. de 2024,495835,82284
26 de out. de 2024,195051,39235
27 de out. de 2024,0,0
28 de out. de 2024,496543,85443
29 de out. de 2024,520225,88702
30 de out. de 2024,523860,91908
31 de out. de 2024,515697,86627
1 de nov. de 2024,487032,83028
2 de nov. de 2024,145442,31885
3 de nov. de 2024,84448,16330
4 de nov. de 2024,506477,89106
5 de nov. de 2024,517703,90918
6 de nov. de 2024,523008,94245
7 de nov. de 2024,505115,83541
8 de nov. de 2024,501724,88473
9 de nov. de 2024,226774,41761
10 de nov. de 2024,103145,23871
11 de nov. de 2024,511885,89585
12 de nov. de 2024,520521,87629
13 de nov. de 2024,530901,94759
14 de nov. de 2024,500955,87622
15 de nov. de 2024,148405,26129
16 de nov. de 2024,192613,36579
17 de nov. de 2024,100749,22694
18 de nov. de 2024,498033,84693
19 de nov. de 2024,517436,89258
20 de nov. de 2024,166314,33503
21 de nov. de 2024,514467,87319
22 de nov. de 2024,502940,82550
23 de nov. de 2024,220888,38532
24 de nov. de 2024,99857,23692
25 de nov. de 2024,505794,86755
26 de nov. de 2024,510391,87980
27 de nov. de 2024,512121,89030
28 de nov. de 2024,502393,82149
29 de nov. de 2024,493595,87533
30 de nov. de 2024,227657,40999
1 de dez. de 2024,119262,25541
2 de dez. de 2024,486210,83874
3 de dez. de 2024,502520,90317
4 de dez. de 2024,501096,92326
5 de dez. de 2024,505470,92017
6 de dez. de 2024,494078,89894
7 de dez. de 2024,165080,27065
8 de dez. de 2024,94846,19993
9 de dez. de 2024,444027,65262
10 de dez. de 2024,488929,85077
11 de dez. de 2024,501019,92669
12 de dez. de 2024,492552,86693
13 de dez. de 2024,478763,84494
14 de dez. de 2024,222617,37490
15 de dez. de 2024,128150,25923
16 de dez. de 2024,466499,83981
17 de dez. de 2024,471925,84270
18 de dez. de 2024,458695,85560
19 de dez. de 2024,435249,77872
20 de dez. de 2024,414303,76457
21 de dez. de 2024,226915,41911
22 de dez. de 2024,116031,24705
23 de dez. de 2024,336210,66630
24 de dez. de 2024,185599,38202
25 de dez. de 2024,99853,27868
26 de dez. de 2024,277234,48050
27 de dez. de 2024,302979,58129
28 de dez. de 2024,179708,34664
29 de dez. de 2024,89892,21004
30 de dez. de 2024,257764,57760
31 de dez. de 2024,131317,31753
