DATA,TOTAL S/ ISENTOS,Passageiros Isentos
1 de jan. de 2022,47815,10860
2 de jan. de 2022,81396,15644
3 de jan. de 2022,305389,47506
4 de jan. de 2022,326195,51475
5 de jan. de 2022,344791,55722
6 de jan. de 2022,339608,51080
7 de jan. de 2022,353381,58461
8 de jan. de 2022,190623,29259
9 de jan. de 2022,88361,16892
10 de jan. de 2022,368719,58536
11 de jan. de 2022,369112,54684
12 de jan. de 2022,372647,56011
13 de jan. de 2022,368323,52093
14 de jan. de 2022,359177,50773
15 de jan. de 2022,177492,26090
16 de jan. de 2022,87411,16167
17 de jan. de 2022,363437,51917
18 de jan. de 2022,368092,51289
19 de jan. de 2022,374285,54839
20 de jan. de 2022,369878,49812
21 de jan. de 2022,367360,51784
22 de jan. de 2022,190111,26555
23 de jan. de 2022,90157,16326
24 de jan. de 2022,367571,50713
25 de jan. de 2022,379001,53512
26 de jan. de 2022,379013,53750
27 de jan. de 2022,369361,49342
28 de jan. de 2022,360720,48967
29 de jan. de 2022,180304,24072
30 de jan. de 2022,84832,16156
31 de jan. de 2022,383400,55664
1 de fev. de 2022,392553,57977
2 de fev. de 2022,400228,60901
3 de fev. de 2022,394526,57988
4 de fev. de 2022,390291,57682
5 de fev. de 2022,209388,30573
6 de fev. de 2022,94396,17500
7 de fev. de 2022,428035,65790
8 de fev. de 2022,432622,62492
9 de fev. de 2022,435130,63911
10 de fev. de 2022,439012,61525
11 de fev. de 2022,430212,60249
12 de fev. de 2022,211080,30042
13 de fev. de 2022,102324,18762
14 de fev. de 2022,438540,59643
15 de fev. de 2022,450451,62061
16 de fev. de 2022,457997,63391
17 de fev. de 2022,449620,58921
18 de fev. de 2022,445414,60054
19 de fev. de 2022,210224,29896
20 de fev. de 2022,97822,18140
21 de fev. de 2022,449041,59622
22 de fev. de 2022,462716,62520
23 de fev. de 2022,462301,63030
24 de fev. de 2022,459173,61010
25 de fev. de 2022,441330,62010
26 de fev. de 2022,196348,28959
27 de fev. de 2022,101327,18311
28 de fev. de 2022,239792,37905
1 de mar. de 2022,169727,25859
2 de mar. de 2022,355558,54989
3 de mar. de 2022,459482,67718
4 de mar. de 2022,447998,66844
5 de mar. de 2022,212739,33623
6 de mar. de 2022,95753,19082
7 de mar. de 2022,472217,69793
8 de mar. de 2022,478998,70811
9 de mar. de 2022,482732,73083
10 de mar. de 2022,485156,68509
11 de mar. de 2022,475034,66271
12 de mar. de 2022,209931,30619
13 de mar. de 2022,88688,16626
14 de mar. de 2022,472556,65174
15 de mar. de 2022,489028,67580
16 de mar. de 2022,485331,66406
17 de mar. de 2022,491265,66306
18 de mar. de 2022,475478,64443
19 de mar. de 2022,205081,28943
20 de mar. de 2022,96258,18423
21 de mar. de 2022,477393,63224
22 de mar. de 2022,486849,65578
23 de mar. de 2022,495951,68819
24 de mar. de 2022,481595,62517
25 de mar. de 2022,474609,63971
26 de mar. de 2022,219452,31637
27 de mar. de 2022,98627,19432
28 de mar. de 2022,483746,66655
29 de mar. de 2022,492034,67309
30 de mar. de 2022,493284,67426
31 de mar. de 2022,503071,65742
1 de abr. de 2022,459644,59416
2 de abr. de 2022,212878,31796
3 de abr. de 2022,102574,19613
4 de abr. de 2022,492721,70588
5 de abr. de 2022,502770,75452
6 de abr. de 2022,513480,76944
7 de abr. de 2022,508122,74298
8 de abr. de 2022,480544,69496
9 de abr. de 2022,240319,35708
10 de abr. de 2022,114796,21745
11 de abr. de 2022,494568,69261
12 de abr. de 2022,493026,66408
13 de abr. de 2022,513245,77247
14 de abr. de 2022,454364,64524
15 de abr. de 2022,128073,20486
16 de abr. de 2022,195640,31768
17 de abr. de 2022,87801,17082
18 de abr. de 2022,482864,66098
19 de abr. de 2022,502175,71128
20 de abr. de 2022,504333,74353
21 de abr. de 2022,148440,21975
22 de abr. de 2022,342400,47708
23 de abr. de 2022,205450,29243
24 de abr. de 2022,100541,20197
25 de abr. de 2022,492937,70901
26 de abr. de 2022,503881,70804
27 de abr. de 2022,495923,72531
28 de abr. de 2022,501856,69573
29 de abr. de 2022,483628,68391
30 de abr. de 2022,221999,32443
1 de mai. de 2022,90291,19669
2 de mai. de 2022,491576,71905
3 de mai. de 2022,472816,62757
4 de mai. de 2022,504434,74268
5 de mai. de 2022,504506,74862
6 de mai. de 2022,494638,76816
7 de mai. de 2022,246350,35973
8 de mai. de 2022,102901,18217
9 de mai. de 2022,482291,70924
10 de mai. de 2022,503281,75258
11 de mai. de 2022,493345,69288
12 de mai. de 2022,496055,70089
13 de mai. de 2022,486446,70304
14 de mai. de 2022,226833,33047
15 de mai. de 2022,104457,19543
16 de mai. de 2022,490713,69610
17 de mai. de 2022,481336,64007
18 de mai. de 2022,469614,57541
19 de mai. de 2022,479596,63005
20 de mai. de 2022,471774,64575
21 de mai. de 2022,222012,32036
22 de mai. de 2022,99547,18930
23 de mai. de 2022,480521,65673
24 de mai. de 2022,492677,67754
25 de mai. de 2022,495405,71125
26 de mai. de 2022,490064,67298
27 de mai. de 2022,464830,66471
28 de mai. de 2022,221443,31740
29 de mai. de 2022,96646,18106
30 de mai. de 2022,451637,55200
31 de mai. de 2022,474729,61892
1 de jun. de 2022,456938,53879
2 de jun. de 2022,436242,49465
3 de jun. de 2022,473464,68331
4 de jun. de 2022,222968,32760
5 de jun. de 2022,99047,18995
6 de jun. de 2022,498037,73805
7 de jun. de 2022,473932,58376
8 de jun. de 2022,512608,77515
9 de jun. de 2022,507111,69121
10 de jun. de 2022,494123,69197
11 de jun. de 2022,229717,32469
12 de jun. de 2022,106331,18383
13 de jun. de 2022,490164,68872
14 de jun. de 2022,499895,68212
15 de jun. de 2022,503846,73141
16 de jun. de 2022,152713,23559
17 de jun. de 2022,360295,52947
18 de jun. de 2022,215750,31263
19 de jun. de 2022,97243,18509
20 de jun. de 2022,490239,67257
21 de jun. de 2022,499480,70493
22 de jun. de 2022,512416,72493
23 de jun. de 2022,507332,68040
24 de jun. de 2022,490747,68312
25 de jun. de 2022,229110,33430
26 de jun. de 2022,96203,17958
27 de jun. de 2022,482028,66216
28 de jun. de 2022,500380,71191
29 de jun. de 2022,492909,70674
30 de jun. de 2022,490188,68707
1 de jul. de 2022,461999,70221
2 de jul. de 2022,214759,33373
3 de jul. de 2022,106721,20233
4 de jul. de 2022,473034,70822
5 de jul. de 2022,526220,77760
6 de jul. de 2022,488650,76590
7 de jul. de 2022,484848,73439
8 de jul. de 2022,459632,69706
9 de jul. de 2022,228275,35177
10 de jul. de 2022,109714,20741
11 de jul. de 2022,443647,68523
12 de jul. de 2022,442729,62475
13 de jul. de 2022,440049,63251
14 de jul. de 2022,439809,61851
15 de jul. de 2022,442784,64677
16 de jul. de 2022,223357,32995
17 de jul. de 2022,97911,18464
18 de jul. de 2022,423720,58951
19 de jul. de 2022,450402,63478
20 de jul. de 2022,466272,68709
21 de jul. de 2022,466375,64624
22 de jul. de 2022,453398,64440
23 de jul. de 2022,224947,32558
24 de jul. de 2022,106262,20632
25 de jul. de 2022,471180,66401
26 de jul. de 2022,459483,69338
27 de jul. de 2022,491542,73629
28 de jul. de 2022,486113,68497
29 de jul. de 2022,460479,64246
30 de jul. de 2022,215876,32685
31 de jul. de 2022,107686,20549
1 de ago. de 2022,484531,71533
2 de ago. de 2022,500083,74501
3 de ago. de 2022,505370,77103
4 de ago. de 2022,500278,73629
5 de ago. de 2022,492714,75264
6 de ago. de 2022,215119,31641
7 de ago. de 2022,82580,14511
8 de ago. de 2022,489148,70317
9 de ago. de 2022,460772,53451
10 de ago. de 2022,454717,49546
11 de ago. de 2022,502699,71355
12 de ago. de 2022,501305,69005
13 de ago. de 2022,226735,33691
14 de ago. de 2022,103577,19502
15 de ago. de 2022,504205,71657
16 de ago. de 2022,502453,64503
17 de ago. de 2022,500935,65639
18 de ago. de 2022,466163,53618
19 de ago. de 2022,494115,67138
20 de ago. de 2022,209568,27996
21 de ago. de 2022,89376,16246
22 de ago. de 2022,495487,65059
23 de ago. de 2022,509495,68959
24 de ago. de 2022,514118,72569
25 de ago. de 2022,509611,70454
26 de ago. de 2022,499999,70213
27 de ago. de 2022,229373,33964
28 de ago. de 2022,101824,19908
29 de ago. de 2022,491026,66757
30 de ago. de 2022,492084,63377
31 de ago. de 2022,509127,72376
1 de set. de 2022,515791,75539
2 de set. de 2022,494601,73558
3 de set. de 2022,196273,25463
4 de set. de 2022,91772,18006
5 de set. de 2022,490322,72745
6 de set. de 2022,474488,67094
7 de set. de 2022,129921,23283
8 de set. de 2022,174468,29575
9 de set. de 2022,362980,66626
10 de set. de 2022,199332,32826
11 de set. de 2022,90179,17531
12 de set. de 2022,468468,61828
13 de set. de 2022,506378,73757
14 de set. de 2022,490912,61932
15 de set. de 2022,498595,64417
16 de set. de 2022,489537,69161
17 de set. de 2022,223678,34148
18 de set. de 2022,105169,19963
19 de set. de 2022,492578,71133
20 de set. de 2022,513274,74849
21 de set. de 2022,498389,69398
22 de set. de 2022,504385,69810
23 de set. de 2022,490660,69888
24 de set. de 2022,227531,34941
25 de set. de 2022,81349,14907
26 de set. de 2022,461582,58542
27 de set. de 2022,499408,70838
28 de set. de 2022,495508,70503
29 de set. de 2022,491964,67714
30 de set. de 2022,476212,69151
1 de out. de 2022,215608,35262
2 de out. de 2022,0,0
3 de out. de 2022,486134,73651
4 de out. de 2022,502252,76782
5 de out. de 2022,508397,81531
6 de out. de 2022,489629,68415
7 de out. de 2022,492267,78249
8 de out. de 2022,240097,38218
9 de out. de 2022,109279,22020
10 de out. de 2022,485349,74333
11 de out. de 2022,492397,78235
12 de out. de 2022,134230,24179
13 de out. de 2022,471604,70565
14 de out. de 2022,439849,57066
15 de out. de 2022,208200,32225
16 de out. de 2022,93671,18031
17 de out. de 2022,499296,74491
18 de out. de 2022,489806,65335
19 de out. de 2022,516867,78685
20 de out. de 2022,494389,67359
21 de out. de 2022,491145,70332
22 de out. de 2022,228005,35685
23 de out. de 2022,111501,21784
24 de out. de 2022,498673,71876
25 de out. de 2022,517655,75789
26 de out. de 2022,515531,78779
27 de out. de 2022,507201,71425
28 de out. de 2022,484570,73334
29 de out. de 2022,210998,31524
30 de out. de 2022,0,0
31 de out. de 2022,476260,66636
1 de nov. de 2022,472821,68063
2 de nov. de 2022,123762,24286
3 de nov. de 2022,503988,77978
4 de nov. de 2022,496027,79789
5 de nov. de 2022,227667,37876
6 de nov. de 2022,105998,22025
7 de nov. de 2022,502519,80745
8 de nov. de 2022,522292,84885
9 de nov. de 2022,523916,84231
10 de nov. de 2022,512731,78675
11 de nov. de 2022,475436,70053
12 de nov. de 2022,221101,36122
13 de nov. de 2022,105728,21475
14 de nov. de 2022,341827,54961
15 de nov. de 2022,149993,23749
16 de nov. de 2022,512513,81868
17 de nov. de 2022,514121,77717
18 de nov. de 2022,496328,75625
19 de nov. de 2022,230384,36749
20 de nov. de 2022,102914,20708
21 de nov. de 2022,488294,74010
22 de nov. de 2022,492138,70196
23 de nov. de 2022,493728,73579
24 de nov. de 2022,431826,58684
25 de nov. de 2022,487364,76893
26 de nov. de 2022,210738,30822
