DATA,TOTAL S/ ISENTOS,Passageiros Isentos
27 de nov. de 2022,109762,19096
28 de nov. de 2022,408371,51633
29 de nov. de 2022,486295,70984
30 de nov. de 2022,488032,71248
1 de dez. de 2022,497324,78075
2 de dez. de 2022,421697,63355
3 de dez. de 2022,224059,36366
4 de dez. de 2022,106942,21770
5 de dez. de 2022,420870,66761
6 de dez. de 2022,497757,81323
7 de dez. de 2022,506875,86175
8 de dez. de 2022,498536,80440
9 de dez. de 2022,392486,51252
10 de dez. de 2022,256239,40735
11 de dez. de 2022,120917,22471
12 de dez. de 2022,472609,76322
13 de dez. de 2022,482018,77071
14 de dez. de 2022,481362,79480
15 de dez. de 2022,481846,76667
16 de dez. de 2022,452355,70601
17 de dez. de 2022,240635,37666
18 de dez. de 2022,122654,21836
19 de dez. de 2022,433713,71063
20 de dez. de 2022,435365,67982
21 de dez. de 2022,433063,72312
22 de dez. de 2022,408761,66488
23 de dez. de 2022,360382,59608
24 de dez. de 2022,146263,27067
25 de dez. de 2022,53157,13379
26 de dez. de 2022,293158,46308
27 de dez. de 2022,319675,52369
28 de dez. de 2022,314557,55247
29 de dez. de 2022,310112,52145
30 de dez. de 2022,266489,47849
31 de dez. de 2022,112487,24666
